,words,ner_tags,bio
0,"['wild', 'dog', 'are', 'known', 'by', 'many', 'different', 'name', 'including', 'painted', 'dog', 'painted', 'wolf', 'cape', 'hunting', 'dog', 'african', 'hunting', 'dog', 'singing', 'dog', 'and', 'ornate', 'wolf-', 'wow']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'B-AN', 'O', 'B-AN', 'O', 'O', 'O', 'O']"
1,"['wild', 'dog', 'do', 'not', 'use', 'a', 'kill', 'bite', 'when', 'hunting', 'the', 'pack', 'will', 'actually', 'begin', 'to', 'eat', 'their', 'prey', 'alive', 'which', 'may', 'be', 'a', 'big', 'reason', 'for', 'their', 'unpopularity', 'but', 'is', 'often', 'actually', 'a', 'quicker', 'ending']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2,"['the', 'african', 'wild', 'dog', 'is', 'the', 'second', 'largest', 'dog', 'specie', 'after', 'the', 'grey', 'wolf']","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O']"
3,"['the', 'mandrill', 'is', 'the', 'largest', 'monkey', 'specie']","[0, 0, 0, 0, 0, 1, 0]","['O', 'O', 'O', 'O', 'O', 'B-AN', 'O']"
4,"['baboon', 'walk', 'on', 'all-fours', 'like', 'a', 'dog']","[0, 0, 0, 0, 0, 0, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'B-AN']"
5,"['99', 'of', 'all', 'calico', 'cat', 'are', 'female', 'due', 'to', 'a', 'recessive', 'gene']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6,"['the', 'oldest', 'cat', 'on', 'record', 'wa', '``', 'creme', 'puff', ""''"", 'who', 'lived', '38', 'year']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7,"['the', 'top', 'two', 'row', 'of', 'a', 'cat', 'whisker', 'moved', 'independently', 'of', 'the', 'bottom', 'twp']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,"['during', 'the', 'life', 'of', 'an', 'average', 'cat', '10,00', 'hour', 'are', 'spent', 'purring']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O']"
9,"['cat', 'sleep', 'about', '16', 'hour', 'a', 'day']","[1, 0, 0, 0, 0, 0, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O']"
